stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.09777,,-88.25353,KBYCRNDO:7,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbycrndo,KBYCRNDO,,Kirby & Coronado (SW Far Side),0,
40.09647,,-88.2699845,MYFRGTOWN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/myfrgtown,,,Mayfair and Georgetown,1,
40.1143719782,,-88.2386989557,WHT1ST,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wht1st,,,White and First,1,
40.118274,,-88.216938,CHCHBUSY,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chchbusy,,,Church and Busey,1,
40.102372,,-88.28978,WSFLDSANG:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wsfldsang,WSFLDSANG,,Westfield & Sangamon (SE Corner),0,
40.093740835,,-88.198735,ADRSNHRDG,http://www.cumtd.com/maps-and-schedules/bus-stops/info/adrsnhrdg,,,Anderson and Harding,1,
40.08497333,,-88.20939333,RACEUA:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceua,RACEUA,,Race at Stone Creek Church (East Side),0,
40.08498667,,-88.20947333,RACEUA:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceua,RACEUA,,Race at Stone Creek Church (West Side),0,
40.1068382263,,-88.2333221436,4THCHAL:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thchal,4THCHAL,,4th & Chalmers (NE Corner),0,
40.12497833,,-88.19237833,EAST:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/east,EAST,,Eastern (West Side),0,
40.08384833,,-88.20138,WDSRVIN:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrvin,WDSRVIN,,Windsor & Vine (NE Corner),0,
40.11047167,,-88.22062833,GRNGRGST:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grngrgst,GRNGRGST,,Green & Gregory (South Side),0,
40.0837650025,,-88.2900283325,WDSRCHHL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrchhl,,,Windsor and Cherry Hills,1,
40.0812636128,,-88.1834430572,SSTNGLNA,http://www.cumtd.com/maps-and-schedules/bus-stops/info/sstnglna,,,Susan Stone and Galena,1,
40.111193665,,-88.188781165,DART,http://www.cumtd.com/maps-and-schedules/bus-stops/info/solo,,,DART,1,
40.08790167,,-88.19953667,MHRYADRSN:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mhryadrsn,MHRYADRSN,,McHenry & Anderson (NW Corner),0,
40.10617333,,-88.28137,CRSNTWLM:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crsntwlm,CRSNTWLM,,Crescent & William (West Side),0,
40.13282333,,-88.17922,BNFLDPRVW:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnfldprvw,BNFLDPRVW,,Brownfield & Prairieview (NW Corner),0,
40.12451333,,-88.24516333,RNDLFTRMNT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rndftrmnt,,,Randolph and Tremont,1,
40.131660335,,-88.298998335,BNBLRSHRN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnblrshrn,,,Bonnie Blair and Sharon,1,
40.0833645101,,-88.2496893562,WNDSRLHRST,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wndsrlhrst,,,Windsor and Lyndhurst,1,
40.131574,,-88.288138,PKLN:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pkln,PKLN,,Parkland College (Main Stop),0,
